Point ID,vel_0,vel_1
9560,5.88819e-05,5.88819e-05
9561,9.35937e-05,9.35937e-05
9562,5.95699e-05,5.95699e-05
9563,8.93694e-05,8.93694e-05
9564,9.04248e-05,9.04248e-05
9565,6.99008e-05,6.99008e-05
9566,0.0001063,0.0001063
9567,6.50774e-05,6.50774e-05
9568,9.88818e-05,9.88818e-05
9569,8.37143e-05,8.37143e-05
9570,0.000127599,0.000127599
9571,7.61099e-05,7.61099e-05
9572,0.000115864,0.000115864
9573,0.000103183,0.000103183
9574,0.000157753,0.000157753
9575,9.273e-05,9.273e-05
9576,0.000141544,0.000141544
9577,0.000128566,0.000128566
9578,0.000197291,0.000197291
9579,0.00011511,0.00011511
9580,0.0001763,0.0001763
9581,0.000160371,0.000160371
9582,0.00024717,0.00024717
9583,0.000143621,0.000143621
9584,0.000220856,0.000220856
9585,0.000199459,0.000199459
9586,0.000308947,0.000308947
9587,0.000178933,0.000178933
9588,0.000276444,0.000276444
9589,0.000247166,0.000247166
9590,0.000384985,0.000384985
9591,0.000222129,0.000222129
9592,0.000344997,0.000344997
9593,0.000305439,0.000305439
9594,0.000478693,0.000478693
9595,0.000274831,0.000274831
9596,0.000429367,0.000429367
9597,0.000377016,0.000377016
9598,0.000594846,0.000594846
9599,0.000339356,0.000339356
9600,0.0005336,0.0005336
9601,0.000465662,0.000465662
9602,0.000740006,0.000740006
9603,0.000418921,0.000418921
9604,0.000663304,0.000663304
9605,0.000576494,0.000576494
9606,0.000923101,0.000923101
9607,0.00051792,0.00051792
9608,0.000826139,0.000826139
9609,0.000716426,0.000716426
9610,0.00115622,0.00115622
9611,0.000642304,0.000642304
9612,0.0010325,0.0010325
9613,0.000894764,0.000894764
9614,0.00145566,0.00145566
9615,0.000800097,0.000800097
9616,0.00129642,0.00129642
9617,0.001124,0.001124
9618,0.00184336,0.00184336
9619,0.00100209,0.00100209
9620,0.00163683,0.00163683
9621,0.00142085,0.00142085
9622,0.00234871,0.00234871
9623,0.00126272,0.00126272
9624,0.00207913,0.00207913
9625,0.00180755,0.00180755
9626,0.00301092,0.00301092
9627,0.00160131,0.00160131
9628,0.00265729,0.00265729
9629,0.00231356,0.00231356
9630,0.00388184,0.00388184
9631,0.00204347,0.00204347
9632,0.00341645,0.00341645
9633,0.00297741,0.00297741
9634,0.0050294,0.0050294
9635,0.00262292,0.00262292
9636,0.00441605,0.00441605
9637,0.00384899,0.00384899
9638,0.00654124,0.00654124
9639,0.00338361,0.00338361
9640,0.00573342,0.00573342
9641,0.00499163,0.00499163
9642,0.0085281,0.0085281
9643,0.00438188,0.00438188
